audio_id,media_type,source_pack,source_category,source_path,normalized_path,extension,notes
sfx_100_cc0_sfx_0_bell_01,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/bell_01.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_bell_01.ogg,ogg,normalized
sfx_100_cc0_sfx_0_bell_02,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/bell_02.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_bell_02.ogg,ogg,normalized
sfx_100_cc0_sfx_0_bell_03,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/bell_03.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_bell_03.ogg,ogg,normalized
sfx_100_cc0_sfx_0_dishes_01,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/dishes_01.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_dishes_01.ogg,ogg,normalized
sfx_100_cc0_sfx_0_dishes_02,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/dishes_02.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_dishes_02.ogg,ogg,normalized
sfx_100_cc0_sfx_0_dishes_03,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/dishes_03.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_dishes_03.ogg,ogg,normalized
sfx_100_cc0_sfx_0_dishes_04,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/dishes_04.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_dishes_04.ogg,ogg,normalized
sfx_100_cc0_sfx_0_door_01,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/door_01.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_door_01.ogg,ogg,normalized
sfx_100_cc0_sfx_0_door_02,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/door_02.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_door_02.ogg,ogg,normalized
sfx_100_cc0_sfx_0_door_close_01,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/door_close_01.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_door_close_01.ogg,ogg,normalized
sfx_100_cc0_sfx_0_door_close_02,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/door_close_02.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_door_close_02.ogg,ogg,normalized
sfx_100_cc0_sfx_0_door_close_03,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/door_close_03.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_door_close_03.ogg,ogg,normalized
sfx_100_cc0_sfx_0_door_close_04,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/door_close_04.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_door_close_04.ogg,ogg,normalized
sfx_100_cc0_sfx_0_door_open,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/door_open.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_door_open.ogg,ogg,normalized
sfx_100_cc0_sfx_0_explosion,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/explosion.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_explosion.ogg,ogg,normalized
sfx_100_cc0_sfx_0_glass_01,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/glass_01.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_glass_01.ogg,ogg,normalized
sfx_100_cc0_sfx_0_glass_02,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/glass_02.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_glass_02.ogg,ogg,normalized
sfx_100_cc0_sfx_0_glass_03,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/glass_03.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_glass_03.ogg,ogg,normalized
sfx_100_cc0_sfx_0_glass_04,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/glass_04.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_glass_04.ogg,ogg,normalized
sfx_100_cc0_sfx_0_glass_05,sfx,100_cc0_sfx_0,root,assetdirectory/audio/sfx_ogapacks/source/100_cc0_sfx_0/glass_05.ogg,assetdirectory/audio/normalized/sfx/100_cc0_sfx_0/sfx_100_cc0_sfx_0_glass_05.ogg,ogg,normalized
